,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,1,9,0,0,8,0,0,1,0,0.0,2070.2479999999996,10,10.0,19.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(O)c(OC)c6)c(OC)c5)c(OC)c4)cc3)cc2OC)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,5,3,0,0,6,0,1,0,0,0.0,1529.686,8,9.0,11.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(CC(Oc4c(OC)cc(CC(Oc5c(OC)cc(C=CCO)cc5)CO)cc4OC)CO)cc3)CO)cc2OC)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(O)c(OC)c4)O3)c2)cc1
0,0,2,1,0,0,2,0,0,0,0,0.0,570.635,3,4.0,4.0,OCC=Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)c(OC)c2)cc1
0,0,2,1,0,0,1,0,0,1,0,0.0,568.6189999999999,3,3.0,4.0,Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)cc3)cc2OC)CO)cc1
0,0,6,6,0,0,10,0,0,1,0,0.0,2340.576,12,12.0,18.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(O)c(OC)c6)c(OC)c5)cc4)c(OC)c3)cc2)cc1)Oc1c(OC)cc(C2OCC3C(OCC23)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(O)cc6)c(OC)c5)cc4)cc3)c(OC)c2)cc1OC
0,0,1,6,0,0,5,0,0,1,0,0.0,1439.561,7,7.0,13.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(OC(CO)Cc5cc(OC)c(O)c(OC)c5)c(OC)c4)cc3OC)CO)cc2)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)c(OC)c1
0,0,1,9,0,0,8,0,0,1,0,0.0,2070.2479999999996,10,10.0,19.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)c(OC)c2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(O)c(OC)c7)c(OC)c6)c(OC)c5)c(OC)c4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,1,2,0,0,1,0,1,0,0,0.0,598.645,3,4.0,5.0,OCC(Oc1c(OC)cc(C=CCO)cc1OC)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(O)c(OC)c3)O2)c1
0,0,0,2,0,0,0,0,0,1,0,0.0,418.44199999999995,2,2.0,4.0,Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)c(OC)c2)cc1OC
0,0,4,5,0,0,7,0,0,1,0,0.0,1769.941,9,9.0,14.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)c(OC)c5)cc4)c(OC)c3)c(OC)c2)c(OC)c1
