,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,2.633663366336634,4.247524752475248,0.0,0.0,5.099009900990099,0.009900990099009901,0.2079207920792079,0.5643564356435643,0.0,0.0,1365.9700495049506,6.881188118811881,7.326732673267327,11.128712871287128
std,0.0,0.0,1.5014844140198584,2.475503749114751,0.0,0.0,2.9580566272302833,0.09950371902099876,0.49632311417398917,0.4983139890502462,0.0,0.0,610.4182374128802,3.0241928798040356,2.9295354952315864,5.319141596792914
CI_lower,,,2.337251507611641,3.7588292583999507,,,4.515052415381783,-0.009742292261877556,0.10994038320728257,0.4659830030965012,,,1245.4658320374006,6.284174507298131,6.748405616899393,10.078647594015484
CI_upper,,,2.9300752250616267,4.736220246550545,,,5.682967386598415,0.02954427245989736,0.30590120095113327,0.6627298681906274,,,1486.4742669725006,7.478201730325631,7.905059729635261,12.178778148558772
