,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,1.0,2.0833333333333335,0.16666666666666666,0.0,1.5833333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.041666666666666664,642.5038333333334,3.0833333333333335,3.9166666666666665,5.166666666666667
std,0.0,0.0,1.044465935734187,0.7929614610987591,0.38924947208076144,0.0,0.6685579234215214,0.0,0.5773502691896257,0.38924947208076144,0.0,0.09731236802019036,95.09464517935736,0.5149286505444373,0.6685579234215215,0.8348471099367217
CI_lower,,,0.3363780049876858,1.5795096577317569,-0.08065064870192681,,1.1585518945682565,,-0.20016419334715815,-0.08065064870192684,,-0.020162662175481703,582.0835783591456,2.756163277640618,3.49188522790159,4.636230119459378
CI_upper,,,1.6636219950123143,2.58715700893491,0.4139839820352601,,2.00811477209841,,0.5334975266804914,0.41398398203526016,,0.10349599550881503,702.9240883075213,3.410503389026049,4.341448105431743,5.697103213873956
