,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,1.7623762376237624,2.910891089108911,0.0,0.0,3.4752475247524752,0.04950495049504951,0.1782178217821782,0.49504950495049505,0.0,0.005775577557755775,928.0820990099012,4.673267326732673,4.673267326732673,7.584158415841584
std,0.0,0.0,1.1326827874695127,1.5368735139951508,0.0,0.0,1.5006269316918206,0.21800172585382793,0.40978139547715875,0.5024691508189857,0.0,0.04126039556310877,332.81511914360215,1.6499024873675967,1.6499024873675967,2.9808298399360984
CI_lower,,,1.5387704464182577,2.607492978109612,,,3.179004943795739,0.0064686750850439095,0.09732183380510973,0.39585579134578325,,-0.0023697421181551334,862.3802194858753,4.347555878495721,4.347555878495721,6.995705212366175
CI_upper,,,1.985982028829267,3.2142892001082095,,,3.7714901057092116,0.0925412259050551,0.2591138097592467,0.5942432185552069,,0.013920897233666685,993.7839785339266,4.998978774969625,4.998978774969625,8.172611619316992
