,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,1,4,0,0,3,0,0,1,0,0.0,1019.103,5,5.0,9.0,Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)c(OC)c4)c(OC)c3)cc2OC)CO)cc1OC
0,0,2,5,0,0,5,0,0,1,0,0.0,1409.5349999999999,7,7.0,12.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)c(OC)c2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)c(OC)c4)c(OC)c3)c(OC)c2)cc1OC
0,0,4,3,0,0,5,0,0,1,0,0.0,1349.4830000000002,7,7.0,10.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)c(OC)c4)cc3)c(OC)c2)cc1OC
0,0,5,3,0,0,5,0,1,1,0,0.0,1527.6699999999998,8,8.0,11.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(C3C5COC(C5CO3)c3cc(OC)c(O)cc3)c4)CO)cc2)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)c(OC)c2)cc1
0,1,3,4,0,0,6,0,0,1,0,0.0,1529.686,8,8.0,11.0,OCC(Oc1ccc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C4C5COC(C5CO4)c4cc(OC)c(O)c(OC)c4)cc3)CO)cc2OC)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)c(OC)c3)cc2)cc1
0,0,3,4,0,0,4,0,1,1,0,0.0,1377.493,7,7.0,11.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c3c(C(CO)C(c4cc(OC)c(O)cc4)O3)c2)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)c(OC)c2)c(OC)c1
0,1,4,2,0,0,3,0,2,1,0,0.0,1285.399,7,7.0,8.0,OCC1C(Oc2c(OC)cc(C3C4COC(C4CO3)c3ccc4c(C(CO)C(c5cc(OC)c(O)c(OC)c5)O4)c3)cc21)c1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)c(OC)c3)cc2)cc1
0,0,1,4,0,0,2,0,1,1,0,0.0,1017.087,5,5.0,9.0,Oc1c(OC)cc(CC(CO)Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c5c(C(CO)C(c6cc(OC)c(O)c(OC)c6)O5)c4)c(OC)c3)cc2OC)cc1OC
0,0,6,4,0,0,9,0,0,0,0,0.0,1922.134,10,11.0,14.0,OCC(Oc1c(OC)cc(C=CCO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(OC(CO)Cc8cc(OC)c(OC(CO)Cc9cc(OC)c(O)c(OC)c9)cc8)cc7)cc6)c(OC)c5)c(OC)c4)cc3)c(OC)c2)cc1
0,0,5,0,0,0,2,0,1,1,0,0.0,896.983,5,5.0,5.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)cc2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(O)cc4)O3)c2)cc1
0,0,2,2,0,0,1,0,1,1,0,0.0,776.832,4,4.0,6.0,Oc1c(OC)cc(C2OCC3C(OCC23)c2cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(O)cc5)O4)c3)c(OC)c2)cc1OC
0,0,3,4,0,0,5,0,1,0,0,0.0,1379.509,7,8.0,11.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2OC)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c3c(C(CO)C(c4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(O)c(OC)c6)cc5)c(OC)c4)O3)c2)c(OC)c1
0,0,4,3,0,0,4,0,1,1,0,0.0,1347.467,7,7.0,10.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)c(OC)c2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c5c(C(CO)C(c6cc(OC)c(O)c(OC)c6)O5)c4)cc3)c(OC)c2)cc1
0,0,4,3,0,0,3,0,2,1,0,0.0,1345.451,7,7.0,10.0,OCC1c2c(OC1c1cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(O)cc5)O4)c3)c(OC)c1)c(OC)cc(C1C3COC(C3CO1)c1cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)c(OC)c3)cc1)c2
0,1,3,4,0,0,7,0,0,0,0,0.0,1531.7019999999998,8,9.0,11.0,OCC(Oc1c(OC)cc(CC(Oc2ccc(CC(Oc3c(OC)cc(C=CCO)cc3OC)CO)cc2)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)c(OC)c4)cc3)cc2)c(OC)c1
0,0,2,3,0,0,2,0,1,1,0,0.0,987.0609999999999,5,5.0,8.0,OCC1C(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)c(OC)c3)cc21)c1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)c(OC)c3)cc2)c(OC)c1
0,0,1,6,0,0,6,0,0,0,0,0.0,1441.577,7,8.0,13.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2OC)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)c(OC)c5)cc4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,1,5,0,0,4,0,0,1,0,0.0,1229.3319999999999,6,6.0,11.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)c(OC)c4)c(OC)c3)cc2)c(OC)c1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)c(OC)c2)cc1OC
0,2,5,2,0,0,7,0,1,0,0,0.0,1619.811,9,10.0,9.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4ccc(OC(CO)Cc5cc(OC)c(OC(CO)Cc6ccc7c(C(CO)C(c8cc(OC)c(O)c(OC)c8)O7)c6)cc5)cc4)c(OC)c3)cc2)cc1
0,2,2,0,0,0,1,0,1,1,0,0.0,656.728,4,4.0,2.0,OCC1c2c(OC1c1cc(OC)c(OC(CO)Cc3ccc(O)cc3)cc1)ccc(C1C3COC(C3CO1)c1cc(OC)c(O)cc1)c2
0,0,5,4,0,0,7,0,0,1,0,0.0,1739.915,9,9.0,13.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(CC(Oc4c(OC)cc(C5C6COC(C6CO5)c5cc(OC)c(OC(CO)Cc6cc(OC)c(O)cc6)cc5)cc4OC)CO)cc3OC)CO)cc2OC)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,3,5,0,0,6,0,0,1,0,0.0,1589.7379999999998,8,8.0,13.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)cc3)cc2OC)CO)cc1OC)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)c(OC)c4)cc3)c(OC)c2)c(OC)c1
0,0,4,5,0,0,7,0,0,1,0,0.0,1769.941,9,9.0,14.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)cc3)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(O)c(OC)c6)c(OC)c5)cc4)c(OC)c3)c(OC)c2)c(OC)c1
0,0,7,3,0,0,7,0,1,1,0,0.0,1888.076,10,10.0,13.0,OCC1c2c(OC1c1cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)c(OC)c1)c(OC)cc(C1C3COC(C3CO1)c1cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(O)c(OC)c7)cc6)cc5)cc4)cc3)c(OC)c1)c2
