,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.25742574257425743,3.0495049504950495,3.108910891089109,0.0,0.0,4.03960396039604,0.0,0.6633663366336634,0.7128712871287128,0.0,0.0,1238.998099009901,6.415841584158416,6.702970297029703,9.267326732673267
std,0.0,0.5030599436753964,1.5124565291191843,1.3849259193112808,0.0,0.0,1.9022134058996005,0.0,0.7249445181911827,0.4546786483521376,0.0,0.0,334.98134509042455,1.7162011929413954,1.723627305744751,2.845667194557057
CI_lower,,0.15811539904847882,2.75092705860956,2.835509141389663,,,3.6640831717221434,,0.5202531946635458,0.6231120182197503,,,1172.8685793097134,6.077041939755926,6.362704644802828,8.705556330945848
CI_upper,,0.35673608610003604,3.348082842380539,3.382312640788555,,,4.4151247490699355,,0.806479478603781,0.8026305560376754,,,1305.1276187100889,6.7546412285609065,7.0432359492565775,9.829097134400685
