,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,6.742574257425742,0.0,0.0,0.0,4.089108910891089,0.009900990099009901,1.00990099009901,0.6336633663366337,0.0,0.0,1211.6987227722777,6.742574257425742,7.118811881188119,6.742574257425742
std,0.0,0.0,2.411030756114632,0.0,0.0,0.0,2.337087973958148,0.09950371902099872,0.9326848289207939,0.4842059949490039,0.0,0.0,433.819747050042,2.411030756114632,2.40119607159795,2.411030756114632
CI_lower,,,6.266606540951257,,,,3.6277384271908164,-0.009742292261877552,0.8257773047889084,0.5380750288031343,,,1126.0572626452001,6.266606540951257,6.644785654808598,6.266606540951257
CI_upper,,,7.218541973900228,,,,4.5504793945913615,0.029544272459897353,1.1940246754091113,0.729251703870133,,,1297.340182899354,7.218541973900228,7.59283810756764,7.218541973900228
