,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count,smiles
0,0,14,0,0,0,9,0,3,1,0,0.0,2514.778,14,14.0,14.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)cc4)cc3)cc2)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c8c(C(CO)C(c9cc(OC)c(OC(CO)Cc%10cc(OC)c%11c(C(CO)C(c%12cc(OC)c(O)cc%12)O%11)c%10)cc9)O8)c7)cc6)cc5)cc4)cc3)O2)c1
0,0,5,0,0,0,4,0,0,0,0,0.0,901.015,5,6.0,5.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C=CCO)cc3)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1
0,0,10,0,0,0,6,0,2,1,0,0.0,1795.982,10,10.0,10.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C(c4c(O3)c(OC)cc(CC(Oc3c(OC)cc(C5C6COC(C6CO5)c5cc(OC)c(OC(CO)Cc6cc(OC)c7c(C(CO)C(c8cc(OC)c(O)cc8)O7)c6)cc5)cc3)CO)c4)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,4,0,0,0,2,0,0,1,0,0.0,718.796,4,4.0,4.0,Oc1c(OC)cc(CC(CO)Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)cc2)cc1
0,0,9,0,0,0,5,0,2,1,0,0.0,1615.779,9,9.0,9.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c3c(C(CO)C(c4cc(OC)c(O)cc4)O3)c2)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(O)cc7)cc6)cc5)O4)c3)cc2)cc1
0,0,5,0,0,0,4,0,0,0,0,0.0,901.015,5,6.0,5.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C=CCO)cc3)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1
0,0,9,0,0,0,8,0,0,0,0,0.0,1621.827,9,10.0,9.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C=CCO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(OC(CO)Cc6cc(OC)c(OC(CO)Cc7cc(OC)c(O)cc7)cc6)cc5)cc4)cc3)cc2)cc1
0,0,4,0,0,0,1,0,1,1,0,0.0,716.78,4,4.0,4.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(O)cc2)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(O)cc3)O2)c1
0,0,4,0,0,0,1,0,1,1,0,0.0,716.78,4,4.0,4.0,Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(O)cc5)O4)c3)cc2)cc1
0,0,8,0,0,0,5,0,1,1,0,0.0,1437.592,8,8.0,8.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)cc2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c4c(C(CO)C(c5cc(OC)c(O)cc5)O4)c3)cc2)cc1
0,0,7,0,0,0,4,0,1,1,0,0.0,1257.389,7,7.0,7.0,OCC(Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)cc2)cc1)Cc1cc(OC)c2c(C(CO)C(c3cc(OC)c(OC(CO)Cc4cc(OC)c(O)cc4)cc3)O2)c1
0,0,7,0,0,0,4,0,1,1,0,0.0,1257.389,7,7.0,7.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c4c(C(CO)C(c5cc(OC)c(O)cc5)O4)c3)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,7,0,0,0,5,0,0,1,0,0.0,1259.405,7,7.0,7.0,OCC(Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(O)cc2)cc1)Oc1c(OC)cc(C2C3COC(C3CO2)c2cc(OC)c(OC(CO)Cc3cc(OC)c(OC(CO)Cc4cc(OC)c(OC(CO)Cc5cc(OC)c(O)cc5)cc4)cc3)cc2)cc1
0,0,6,0,0,0,4,0,0,1,0,0.0,1079.202,6,6.0,6.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(C3C4COC(C4CO3)c3cc(OC)c(O)cc3)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
0,0,6,0,0,0,5,0,0,0,0,0.0,1081.218,6,7.0,6.0,OCC(Oc1c(OC)cc(CC(Oc2c(OC)cc(CC(Oc3c(OC)cc(C=CCO)cc3)CO)cc2)CO)cc1)Cc1cc(OC)c(OC(CO)Cc2cc(OC)c(OC(CO)Cc3cc(OC)c(O)cc3)cc2)cc1
