,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,18.11111111111111,43.77777777777778,6.888888888888889,0.0,47.111111111111114,0.1111111111111111,3.111111111111111,3.5555555555555554,0.0,0.11243052155453152,13192.989666666666,61.888888888888886,59.333333333333336,105.66666666666667
std,0.0,0.0,3.551212625443753,7.512951779723097,3.1001792062897127,0.0,5.109903238918631,0.33333333333333337,2.088327347690278,2.0069324297987157,0.0,0.04872717099012371,1423.987710209432,6.470016314593891,5.172040216394301,13.564659966250536
CI_lower,,,15.381407444892442,38.002811820995184,4.5058801992060395,,43.18329177825552,-0.14511157055926338,1.5058806114187606,2.012890728272753,,0.07497550229063041,12098.415817340117,56.915594097159925,55.35775129147862,95.23994600916822
CI_upper,,,20.84081477732978,49.55274373456037,9.271897578571739,,51.038930443966706,0.3673337927814856,4.716341610803462,5.098220382838358,,0.14988554081843264,14287.563515993219,66.86218368061785,63.30891537518805,116.09338732416512
