,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,1.8181818181818181,5.181818181818182,0.45454545454545453,0.0,4.636363636363637,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.0,0.046831955922865015,1488.4383636363636,7.0,7.363636363636363,12.181818181818182
std,0.0,0.0,1.0787197799411874,3.3709993123162105,0.5222329678670934,0.0,3.2333489534143163,0.3015113445777636,0.30151134457776363,0.504524979109513,0.0,0.08030432973635489,734.1962804512528,3.255764119219941,3.4138754304375922,6.539391130956793
CI_lower,,,1.0934880092651718,2.9171500289536616,0.1037045729162307,,2.4641702528936262,-0.11164898654226713,-0.11164898654226715,0.29741914345334725,,-0.007117226868897854,995.1985910221435,4.812747903241111,5.070163642680361,7.788595442408331
CI_upper,,,2.5428756270984643,7.446486334682701,0.8053863361746784,,6.808557019833647,0.29346716836044895,0.29346716836044895,0.9753081292739254,,0.10078113871462788,1981.6781362505837,9.18725209675889,9.657109084592365,16.57504092122803
