,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,1.2727272727272727,2.0,0.2727272727272727,0.0,1.6363636363636365,0.0,0.18181818181818182,0.18181818181818182,0.0,0.06818181818181818,674.7045454545455,3.272727272727273,4.090909090909091,5.2727272727272725
std,0.0,0.0,1.009049958219026,0.7745966692414834,0.46709936649691375,0.0,0.674199862463242,0.0,0.6030226891555271,0.40451991747794525,0.0,0.11677484162422844,85.75760639775764,0.46709936649691375,0.7006490497453707,0.7862453931068965
CI_lower,,,0.5948382869066945,1.479618876890008,-0.041074351516287966,,1.1834300057907325,,-0.22329797308453425,-0.08994199652556056,,-0.010268587879071991,617.0918015523674,2.9589256484837123,3.6202066545437495,4.744520430441625
CI_upper,,,1.9506162585478508,2.520381123109992,0.5865288969708333,,2.0892972669365406,,0.5869343367208979,0.4535783601619242,,0.14663222424270833,732.3172893567236,3.5865288969708335,4.561611527274432,5.80093411501292
