,Unnamed: 0,H,G,S,4-O-5,alpha-O-4,beta-O-4,5-5,beta-5,beta-beta,beta-1,branching_coeff,MW,monomer_count,OH_count,OCH3_count
mean,0.0,0.0,1.6153846153846154,3.230769230769231,0.38461538461538464,0.0,3.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.009615384615384616,1016.5896923076923,4.846153846153846,5.615384615384615,8.076923076923077
std,0.0,0.0,1.2608503439122305,1.3634420996046583,0.650443635587991,0.0,1.4142135623730951,0.0,0.599144689515278,0.4385290096535146,0.0,0.03466876226407683,412.1533854989314,1.9935794376846323,2.142368686697878,3.1744169664558997
CI_lower,,,0.8534603780852927,2.406849415972098,-0.008443770536876005,,2.14539929731384,,-0.13129028152340771,-0.034231197574341454,,-0.011334738746763634,767.5278941229689,3.6414458489776065,4.320764174895715,6.158642102725787
CI_upper,,,2.377308852683938,4.054689045566364,0.7776745397676452,,3.85460070268616,,0.5928287430618693,0.495769659112803,,0.030565507977532866,1265.6514904924156,6.050861843330085,6.910005055873515,9.995204051120366
